no,romaji,kana,kanji,meaning_mm
2591,kesshō,けっしょう,決勝,ဗိုလ်လုပွဲ
2592,kesshō,けっしょう,結晶,ဖွဲ့စည်းပုံ၊ ကြိုးစားမှုရလဒ်
2593,kesshin(suru),けっしん（する）,決心（する）,စိတ်ပိုင်းဖြတ်မှု
2594,kessei(suru),けっせい（する）,結成（する）,အသင်းအဖွဲ့ဖွဲ့စည်းခြင်း
2595,kesseki(suru),けっせき（する）,欠席（する）,တက်ရောက်ခြင်းပျက်ကွက်မှု
2596,kessoku(suru),けっそく（する）,結束（する）,စည်းလုံးညီညွှတ်မှု့
2597,gessori,げっそり,,ရုတ်တရက်ပိန်သွားသောအခြေအနေ၊မျက်နှာကျသော၊ စိတ်ဓါတ်ကျနေသော
2598,ketsudan(suru),けつだん（する）,決断（する）,စိတ်ပိုင်းဆုံးဖြတ်ခြင်း
2599,kettei(suru),けってい（する）,決定（する）,ဆုံးဖြတ်အတည်ပြုခြင်း
2600,ketsuten,けってん,欠点,ချို့ယွင်းချက်၊ အားနည်းချက်
2601,kettō,けっとう,血統,အမျိုးအနွယ်
2602,geppu,げっぷ,月賦,လစဉ်အရစ်ကျပေးသွင်းခြင်း
2603,ketsubou(suru),けつぼう（する）,欠乏（する）,ချို့တဲ့ခြင်း
2604,getsumatsu,げつまつ,月末,လကုန်ရက်
2605,getsuyōbi,げつようび,月曜日,တနင်္လာနေ့
2606,ketsuron,けつろん,結論,နိဂုံး
2607,ketobasu,けとばす,蹴飛ばす,ဆောင့်ကန်သည်
2608,kenasu,けなす,,ကဲ့ရဲ့ သည်
2609,kehai,けはい,気配,အရိပ်အရောင်
2610,gehin(na),げひん（な）,下品（な）,ယုတ်ညံ့သော၊အောက်တန်းကျသော
2611,kemui,けむい,煙い,မီးခိုးမွှန်သော
2612,kemutai,けむたい,煙たい,မီးခိုးမွှန်သော
2613,kemuri,けむり,煙,မီးခိုး
2614,kemuru,けむる,煙る,မီးခိုးတက်သည်၊မီးခိုးမွှန်သည်
2615,kemono,けもの,獣,သားရဲတိရိစ္ဆာန်
2616,kerai,けらい,家来,နောက်လိုက်ငယ်သား
2617,geri(suru),げり（する）,下痢（する）,ဝမ်းပျက်ခြင်း၊ဝမ်းလျှောသော
2618,keru,ける,蹴る,ကန်သည်
2619,keredo/keredomo,けれど／けれども,,ဒါပေမဲ့
2620,kewashii,けわしい,険しい,မတ်ဆောက်သော
2621,ken,けん,券,လက်မှတ်
2622,ken,けん,県,ခရိုင်
2623,ken,けん,件,ကိစ္စ
2624,~ken,～けん,～軒,အိမ်(အိမ်ကိုရေတွက်ယူနစ်)-လုံး
2625,~ken,～けん,～圏,ကန့်သတ်ထားသောဘောင်
2626,~ken,～けん,～権,ရပိုင်ခွင့်
2627,kenaku(na),けんあく（な）,険悪（な）,မာကျောသော၊ တင်းမာသော
2628,keni,けんい,権威,ဩဇာအာဏာ
2629,genin,げんいん,原因,အကြောင်းအရင်း
2630,kenka(suru),けんか（する）,喧嘩（する）,ရန်ဖြစ်ခြင်း
2631,kenkai,けんかい,見解,ထင်မြင်ချက်
2632,genkai,げんかい,限界,အဆုံးစွန်၊အစွန်ဆုံး
2633,kengaku(suru),けんがく（する）,見学（する）,ကြည့်ရှုလေ့လာခြင်း
2634,genkan,げんかん,玄関,အိမ်ပေါက်ဝ ၊ဖိနပ်ချွတ်နေရာ
2635,genki(na),げんき（な）,元気（な）,နေကောင်းသော၊ ကျန်းမာသော
2636,kenkyū(suru),けんきゅう（する）,研究（する）,သုတေသနပြုလုပ်ခြင်း
2637,kenkyūshitsu,けんきゅうしつ,研究室,သုတေသနခန်း
2638,kenkyūsei,けんきゅうせい,研究生,သုတေသနကျောင်းသား
2639,kenkiyo(na),けんきょ（な）,謙虚（な）,ကျိုးနွံသော
2640,kengyou(suru),けんぎょう（する）,兼業（する）,တစ်ကြိမ်တည်းနှင့်အလုပ်၂-ခုလုပ်ခြင်း
2641,genkin,げんきん,現金,လက်ငင်းငွေ
2642,kenkei,けんけい,県警,ခရိုင်ရဲဌာနချုပ်
2643,genkei,げんけい,原型／原形,မူလပုံသဏ္ဍာန်
2644,kengen,けんげん,権限,အခွင့်အာဏာ
2645,gengo,げんご,言語,ဘာသာစကား
2646,genkou,げんこう,原稿,စာမူ
2647,genkou,げんこう,現行,လက်ရှိကျင့်သုံးနေခြင်း၊အခုပြုလုပ်နေခြင်း၊တည်းဆဲ
2648,kenkō(na),けんこう（な）,健康（な）,ကျန်းမာရေးအခြေအနေ၊ကျန်းမာသော
2649,kensa(suru),けんさ（する）,検査（する）,စစ်ဆေးစမ်းသပ်မှု
2650,genzai,げんざい,現在,လက်ရှိ၊ယခုအချိန်အခါ၊ အဲ့ဒီအချိန်
2651,kenzai(suru),けんざい（する）,健在（する）,ကျန်းမာသန်စွမ်းမှု၊ အစွမ်းပြနေခြင်း
2652,gensaku,げんさく,原作,မူရင်းစာမူ၊မူရင်းလက်ရာ
2653,kensaku(suru),けんさく（する）,検索（する）,အချက်အလက်ရှာဖွေခြင်း
2654,gensan,げんさん,原産,မူလထွက်ရှိခြင်း၊ ပင်ရင်း
2655,kenji,けんじ,検事,ဥပဒေအကျိုးဆောင်၊ အစိုးရရှေ့နေ
2656,genshi,げんし,原始,မူလ၊ အစ ၊ သဘာဝအတိုင်း
2657,genshi,げんし,原子,အနုမြူ
2658,kenji(suru),けんじ（する）,堅持（する）,ခိုင်မာစွာစောင့်ထိန်းခြင်း
2659,genjitsu,げんじつ,現実,လက်တွေ့ဘဝ၊ လက်ရှိဘဝ၊ လက်ရှိအခြေအနေ
2660,genjitsuteki(na),げんじつてき（な）,現実的（な）,လက်တွေ့ဘဝနှင့် လိုက်လျောသော
2661,genshiyu,げんしゅ,元首,မင်းတရား၊နိုင်ငံတော်အကြီးအကဲ
2662,kenshū(suru),けんしゅう（する）,研修（する）,လက်တွေ့လေ့လာခြင်း၊ ပညာပေးခြင်း။ပညာပေးသင်း
2663,genjū(na),げんじゅう（な）,厳重（な）,လုံခြုံသောကျပ်တည်းသော
2664,kenshūkai,けんしゅうかい,研修会,သုတေသန၊ပညာပေးအစည်းအဝေးသင်တန်း
2665,gensho,げんしょ,原書,မူပိုင်စာကြမ်း
2666,kenshō,けんしょう,懸賞,ဆုငွေ၊ လက်ဆောင်ဆု
2667,genshō,げんしょう,現象,အဖြစ်အပျက်
2668,genjiyou,げんじょう,現状,လက်ရှိအခြေအနေ
2669,kenshō(suru),けんしょう（する）,検証（する）,သက်သေခံပစ္စည်းများစစ်ဆေးခြင်း
2670,genshō(suru),げんしょう（する）,減少（する）,လျော့နည်းမှု၊လျှော့ချခြင်း၊လျှော့ချမှု
2671,genshiriyokuhatsuden,げんしりょくはつでん,原子力発電,အနုမြူဓါတ်အားထုတ်လုပ်ခြင်း
2672,gensei(na),げんせい（な）,厳正（な）,စည်းကမ်းတင်းကျပ်သော
2673,genseirin,げんせいりん,原生林,သဘာဝသစ်တော
2674,kensetsu(suru),けんせつ（する）,建設（する）,ဆောက်လုပ်မှု၊ ဆောက်လုပ်ရေး
2675,gensen,げんせん,源泉,အရင်းအမြစ်
2676,kenzen(na),けんぜん（な）,健全（な）,ကျန်းမာရေးကောင်းသော၊မူမှန်သော၊တဘက်စောင်းအမြင်မရှိသော
2677,genso,げんそ,元素,ဒြပ်စင်
2678,genzou(suru),げんぞう（する）,現像（する）,ပုံဖော်ခြင်း၊ဓါတ်ပုံဆေးခြင်း
2679,gensoku,げんそく,原則,မူ၊အခြေခံမူ
2680,kenson(suru),けんそん（する）,謙遜（する）,မိမိကိုယ်ကိုနှိမ့်ချခြင်း၊ ကျိုးနွံခြင်း
2681,gendai,げんだい,現代,မျက်မှောက်ခေတ်၊ ဒုတိယကမ္ဘာစစ်ကြီးနောက်ပိုင်းခေတ်
2682,gentai(suru),げんたい（する）,減退（する）,အားအင်ကုန်ခမ်းလာခြင်း၊ အားအင်လျော့နည်းလာခြင်း
2683,kenchi,けんち,見地,ရှုထောင့်၊အမြင်၊ရပ်တည်ချက်
2684,genchi,げんち,現地,ဖြစ်ပွားသောနေရာ၊လက်ရှိနေရာ
2685,kenchiku(suru),けんちく（する）,建築（する）,ဗိသုကာ၊ အဆောက်အဦး
2686,kencho(na),けんちょ（な）,顕著（な）,ထင်ရှားသော
2687,kenchou,けんちょう,県庁,ခရိုင်ဝန်ရုံး
2688,kentei,けんてい,検定,စံချိန်မှီမမှီကိုအသိအမှတ်ပြုခြင်း
2689,gentei(suru),げんてい（する）,限定（する）,(ပမာဏ၊ဘောင်၊အရေအတွက်)ကိုကန့်သတ်ခြင်း
2690,genten,げんてん,原点,မူလအမှတ်နေရာ၊မူလအစ
2691,genten,げんてん,原典,မူလစာကြမ်း
2692,genten(suru),げんてん（する）,減点（する）,အမှတ်လျော့ခြင်း
2693,gendo,げんど,限度,ကန့်သတ်ချက်၊အဆုံးစွန်
2694,kendō,けんどう,剣道,ဓါးသိုင်းပညာ
2695,kentō(suru),けんとう（する）,見当（する）,မှန်းဆချက်
2696,kentō(suru),けんとう（する）,検討（する）,သုံးသပ်ခြင်း
2697,genni,げんに,現に,လက်ရှိမျက်မြင်၊အမှန်တကယ်
2698,genba,げんば,現場,ဖြစ်ပွားရာနေရာပြုလုပ်နေသောနေရာ
2699,genbaku,げんばく,原爆,အနုမြူဗုံး
2700,kenbikiyou,けんびきょう,顕微鏡,အနုကြည့်မှန်ပြောင်း
2701,genpinkagiri,げんぴんかぎり,現品限り,ပြသထားသောပစ္စည်းကိုပဲကန့်သတ်ထားခြင်း
2702,kenbutsu(suru),けんぶつ（する）,見物（する）,လည်ပတ်ကြည့်ရှူခြင်း
2703,genbun,げんぶん,原文,မူလဝါကျ
2704,kempō,けんぽう,憲法,ဖွဲ့စည်းပုံအခြေခံဥပဒေ
2705,genmitsu(na),げんみつ（な）,厳密（な）,ကျပ်တည်းသော၊ တိကျသော
2706,kemmei,けんめい,件名,အကြောင်းကိစ္စ
2707,kemmei(na),けんめい（な）,賢明（な）,လိမ္မာပါးနပ်သော
2708,kemmei(na),けんめい（な）,懸命（な）,အစွမ်းကုန်သော
2709,genmen(suru),げんめん（する）,減免（する）,အခကြေးငွေလျှော့ပေးခြင်း
2710,kenyaku(suru),けんやく（する）,倹約（する）,ချွေတာမှု
2711,genyu,げんゆ,原油,ရေနံစိမ်း
2712,kenyō(suru),けんよう（する）,兼用（する）,ပူးတွဲသုံးစွဲမှု
2713,kenri,けんり,権利,ရပိုင်ခွင့်
2714,genri,げんり,原理,အခြေခံတရား၊သီအိုရမ်၊အက်ဆီယမ်၊အရင်းခံတရား
2715,genryō,げんりょう,原料,ကုန်ကြမ်း
2716,kenriyoku,けんりょく,権力,အာဏာ
2717,genron,げんろん,言論,ဟောပြောချက်၊လွတ်လပ်စွာပြောဆိုခြင်း၊ရေးသားခြင်း
2718,~ko,～こ,～湖,ရေကန်
